title	rank	total_question_count	wikidata_id	wikidata_label	wikidata_description	creators	sort_year	date_label	confidence	decision
The Man Who Laughs	1726	42	Q865211	The Man Who Laughs	novel by Victor Hugo	""	1869	1869	medium	accepted_overlay
The Golden Shovel	1727	107	""	""	""	""	""	""	""	no_high_confidence_match
The Great White Hope	1728	43	Q7737991	The Great White Hope	play written by Howard Sackler	Howard Sackler		""	medium	accepted_overlay
Patriotism	1729	40	Q17053091	Patriotism	short story by Yukio Mishima	Yukio Mishima	1960	1960	high	accepted_overlay
The Homecoming	1730	27	Q3226375	The Homecoming	theater play by Harold Pinter	Harold Pinter		""	medium	accepted_overlay
Michael Kohlhaas	1731	43	Q279676	Michael Kohlhaas	novella by Heinrich von Kleist	Heinrich von Kleist	1810	1810	high	accepted_overlay
East Coker	1732	59	""	""	""	""	""	""	""	no_high_confidence_match
Noon Wine	1733	41	Q17108354	Noon Wine	novel by Katherine Anne Porter	Katherine Anne Porter		""	medium	accepted_overlay
I Promessi Sposi	1734	29	Q28491	The Betrothed	Italian historical novel by Alessandro Manzoni	Alessandro Manzoni	1827	1827	high	accepted_overlay
The Good Person of Szechwan	1735	41	Q555959	The Good Person of Szechwan	play by Bertolt Brecht	Bertolt Brecht	1943	1943	high	accepted_overlay
Fear of Flying	1736	58	Q1088550	Fear of Flying	novel by Erica Jong	Erica Jong	1973	1973	high	accepted_overlay
Nervous Conditions	1737	31	Q6996918	Nervous Conditions	novel by Zimbabwean author Tsitsi Dangarembga	Tsitsi Dangarembga	1988	1988	high	accepted_overlay
The Torrents of Spring	1738	96	""	""	""	""	""	""	""	no_high_confidence_match
The Gospel According to Mark	1739	39	Q7737371	The Gospel According to Mark	short story by Jorge Luis Borges	Jorge Luis Borges		""	medium	accepted_overlay
Die Räuber	1740	26	Q466333	The Robbers	play by Friedrich Schiller	Friedrich Schiller	1782	1782	high	accepted_overlay
Americanah	1742	39	Q16154159	Americanah	novel by Chimamanda Ngozi Adichie	Chimamanda Ngozi Adichie	2013	2013	high	accepted_overlay
The Maids	1743	27	Q2068744	The Maids	1946 play written by Jean Genet	Jean Genet	1946	1946	high	accepted_overlay
Picnic	1744	24	""	""	""	""	""	""	""	no_high_confidence_match
Delight in Disorder	1745	48	""	""	""	""	""	""	""	no_high_confidence_match
The Other Shore	1746	62	Q7755518	The Other Shore	play written by Gao Xingjian	Gao Xingjian		""	medium	accepted_overlay
The Snow Man	1747	48	Q7765025	The Snow Man	Poem from Wallace Stevens	Wallace Stevens		""	medium	accepted_overlay
Summer and Smoke	1748	51	Q13424688	Summer and Smoke	play by Tennessee Williams	Tennessee Williams	1948	1948	high	accepted_overlay
Two Years Before the Mast	1749	42	""	""	""	""	""	""	""	no_high_confidence_match
Oblomov	1750	27	Q842074	Oblomov	1859 Russian classical novel by Ivan Goncharov	Ivan Goncharov	1859	1859	high	accepted_overlay
The Egoist	1751	25	Q7731638	The Egoist	novel by George Meredith	George Meredith	1879	1879	high	accepted_overlay
Men of Maize	1752	66	Q3139595	Men of Maize	novel by Miguel Ángel Asturias	Miguel Ángel Asturias	1949	1949	high	accepted_overlay
Rabbi Ben Ezra	1753	48	Q763473	Rabbi ben Ezra	poem by Robert Browning	Robert Browning	1864	1864	high	accepted_overlay
The Professor's House	1754	40	Q7758486	The Professor's House	novel by Willa Cather	Willa Cather	1925	1925	high	accepted_overlay
Four Great Classical Novels	1755	113	""	""	""	""	""	""	""	no_high_confidence_match
Der Sandmann	1756	24	Q798227	The Sandman	short story by E.T.A. Hoffmann	E. T. A. Hoffmann	1817	1817	high	accepted_overlay
Sarrasine	1757	43	Q2704213	Sarrasine	short story by Honoré de Balzac	Honoré de Balzac	1831	1831	high	accepted_overlay
Tulips	1758	39	""	""	""	""	""	""	""	no_high_confidence_match
Darkness Visible	1759	51	Q1635848	Darkness Visible	novel by William Golding	William Golding	1979	1979	high	accepted_overlay
The Moon is a Harsh Mistress	1760	44	Q1410482	The Moon Is a Harsh Mistress	novel by Robert A. Heinlein	Robert A. Heinlein	1966	1966	high	accepted_overlay
London Fields	1761	42	""	""	""	""	""	""	""	no_high_confidence_match
of an Ex-Colored Man	1762	98	""	""	""	""	""	""	""	no_high_confidence_match
The Life and Opinions of Tristram Shandy	1764	32	""	""	""	""	""	""	""	no_high_confidence_match
Roots	1765	39	""	""	""	""	""	""	""	no_high_confidence_match
Memento Mori	1766	37	""	""	""	""	""	""	""	no_high_confidence_match
Strait is the Gate	1767	51	Q27463	Strait is the Gate	1909 novel by André Gide	André Gide	1909	1909	high	accepted_overlay
The Lass of Aughrim	1768	95	""	""	""	""	""	""	""	no_high_confidence_match
I, Too, Sing America	1769	48	Q24964612	I, Too	1926 poem by Langston Hughes	Langston Hughes	1926	1926	high	accepted_overlay
If We Must Die	1770	50	Q39045609	If We Must Die	poem by Claude McKay	Claude McKay	1919	1919	high	accepted_overlay
The Hasty Pudding	1771	50	""	""	""	""	""	""	""	no_high_confidence_match
Tiepolo's Hound	1772	42	""	""	""	""	""	""	""	no_high_confidence_match
A Throw of the Dice Will Never Abolish Chance	1773	51	""	""	""	""	""	""	""	no_high_confidence_match
Deer Park	1774	58	""	""	""	""	""	""	""	no_high_confidence_match
The Red-Headed League	1775	50	Q461026	The Adventure of the Red-Headed League	short story by Arthur Conan Doyle featuring Sherlock Holmes	Arthur Conan Doyle	1891	1891	high	accepted_overlay
Roman Elegies	1776	58	""	""	""	""	""	""	""	no_high_confidence_match
Nature	1777	63	""	""	""	""	""	""	""	no_high_confidence_match
An Encounter	1778	34	Q866956	An Encounter	1914 short story by James Joyce	James Joyce	1914	1914	high	accepted_overlay
Dr. Faustus	1779	34	Q50919	The Tragical History of Doctor Faustus	play by Christopher Marlowe	Christopher Marlowe	1604	1604	high	accepted_overlay
A Sound of Thunder	1780	95	Q783017	A Sound of Thunder	short story by Ray Bradbury	Ray Bradbury	1952	1952	high	accepted_overlay
The Sons of La Malinche	1781	97	""	""	""	""	""	""	""	no_high_confidence_match
The Way We Live Now	1782	49	Q7773866	The Way We Live Now	1875 novel by Anthony Trollope	Anthony Trollope	1875	1875	high	accepted_overlay
The Man of Mode	1783	32	Q3203819	The Man of Mode	play written by George Etherege	George Etherege		""	medium	accepted_overlay
A Scandal in Bohemia	1784	97	Q265546	A Scandal in Bohemia	1891 short story by Sir Arthur Conan Doyle	Arthur Conan Doyle	1891	1891	high	accepted_overlay
Soliloquy of the Spanish Cloister	1785	41	Q3489486	Soliloquy of the Spanish Cloister	poem by Robert Browning	Robert Browning		""	medium	accepted_overlay
The Good Soldier Svejk	1786	54	Q208622	The Good Soldier Švejk	novel by the Czech author Jaroslav Hašek	Jaroslav Hašek	1921	1921	high	accepted_overlay
The Last Question	1787	46	""	""	""	""	""	""	""	no_high_confidence_match
Betrayal	1788	39	Q3028771	Betrayal	play written by Harold Pinter	Harold Pinter		""	medium	accepted_overlay
The Plumed Serpent	1789	87	Q17017955	The Plumed Serpent	novel by D. H. Lawrence	D. H. Lawrence	1926	1926	high	accepted_overlay
The Handmaid	1790	104	""	""	""	""	""	""	""	no_high_confidence_match
The Traps of Faith	1791	97	""	""	""	""	""	""	""	no_high_confidence_match
God Bless You	1792	90	""	""	""	""	""	""	""	no_high_confidence_match
Around the World in 80 Days	1793	54	Q1219561	Around the World in Eighty Days	novel by Jules Verne	Jules Verne	1872	1872	high	accepted_overlay
Enemies: A Love Story	1794	40	""	""	""	""	""	""	""	no_high_confidence_match
Big Two-Hearted River	1795	87	Q3775616	Big Two-Hearted River	short story by Ernest Hemingway	Ernest Hemingway	1924	1924	high	accepted_overlay
The Wheel of Time	1796	88	""	""	""	""	""	""	""	no_high_confidence_match
Love! Valour! Compassion	1797	43	Q13599102	Love! Valour! Compassion!	1995 play written by Terrence McNally	Terrence McNally	1995	1995	high	accepted_overlay
Letters from an American Farmer	1798	32	Q3237022	Letters from an American Farmer	book by J. Hector St. John de Crèvecœur	J. Hector St. John de Crèvecœur	1782	1782	high	accepted_overlay
Everyman	1799	26	""	""	""	""	""	""	""	no_high_confidence_match
Essays of Elia	1800	45	""	""	""	""	""	""	""	no_high_confidence_match
The Bet	1801	35	Q394247	The Bet	short story by Anton Chekhov	Anton Chekhov	1889	1889	high	accepted_overlay
The Golden Legend	1802	101	""	""	""	""	""	""	""	no_high_confidence_match
The Accidental Tourist	1803	49	Q7712216	The Accidental Tourist	1985 novel by Anne Tyler	Anne Tyler	1985	1985	high	accepted_overlay
Grace	1804	37	""	""	""	""	""	""	""	no_high_confidence_match
Mary Barton	1805	37	""	""	""	""	""	""	""	no_high_confidence_match
The Wild Honeysuckle	1806	45	""	""	""	""	""	""	""	no_high_confidence_match
The Third Policeman	1807	46	Q2483345	The Third Policeman	1967 novel by Flann O'Brien	Brian O'Nolan	1967	1967	high	accepted_overlay
Hail and Farewell	1808	89	""	""	""	""	""	""	""	no_high_confidence_match
Invictus	1809	27	Q623508	Invictus	poem	William Ernest Henley	1888	1888	high	accepted_overlay
The Ice Palace	1810	62	Q7741279	The Ice Palace	1963 novel by Tarjei Vesaas	Tarjei Vesaas	1963	1963	high	accepted_overlay
Shakespeare in Love	1811	87	""	""	""	""	""	""	""	no_high_confidence_match
Frankenstein, or The Modern Prometheus	1812	25	Q150827	Frankenstein; or, The Modern Prometheus	1818 novel by Mary Shelley	Mary Shelley	1818	1818	high	accepted_overlay
The Man Without Qualities	1813	41	""	""	""	""	""	""	""	no_high_confidence_match
American Names	1814	32	""	""	""	""	""	""	""	no_high_confidence_match
Androcles and the Lion	1815	53	Q4759428	Androcles and the Lion	play by George Bernard Shaw	George Bernard Shaw	1914	1914	high	accepted_overlay
The Solitary Reaper	1816	30	Q2101872	The Solitary Reaper	1807 poem written by William Wordsworth	William Wordsworth	1807	1807	high	accepted_overlay
Pan Tadeusz	1817	60	Q1339346	Pan Tadeusz	epic poem by Adam Mickiewicz	Adam Mickiewicz	1834	1834	high	accepted_overlay
Zeno of Elea	1818	90	""	""	""	""	""	""	""	no_high_confidence_match
Beneath the Wheel	1819	54	Q1325403	Beneath the Wheel	1906 novel by Hermann Hesse	Hermann Hesse	1906	1906	high	accepted_overlay
Flowers for Algernon	1820	30	Q837934	Flowers for Algernon	short story by Daniel Keyes, later expanded into a novel	Daniel Keyes	1959	1959	high	accepted_overlay
Top Girls	1821	43	""	""	""	""	""	""	""	no_high_confidence_match
The Vanity of Human Wishes	1822	88	Q3824747	The Vanity of Human Wishes	1749 poem written by Samuel Johnson	Samuel Johnson	1749	1749	high	accepted_overlay
The Man in the Iron Mask	1823	86	""	""	""	""	""	""	""	no_high_confidence_match
Evenings on a Farm Near Dikanka	1824	57	Q318848	Evenings on a Farm Near Dikanka	short story collection by Gogol	Nikolai Gogol	1830	1830	high	accepted_overlay
Patriotic Gore	1825	33	Q7148046	Patriotic Gore	book by Edmund Wilson	Edmund Wilson	1962	1962	high	accepted_overlay
The Bridal Canopy	1826	38	Q7720011	The Bridal Canopy	1931 novel by Shmuel Yosef Agnon	Shmuel Yosef Agnon	1931	1931	high	accepted_overlay
Death of the Poet	1827	61	Q959177	Death of the Poet	poem by Mikhail Lermontov	Mikhail Lermontov	1852	1852	high	accepted_overlay
La Chartreuse de Parme	1828	26	""	""	""	""	""	""	""	no_high_confidence_match
The Kindly Ones	1829	45	Q1233164	Eumenides	play by Aeschylus; part 3 of the Oresteia	Aeschylus		""	medium	accepted_overlay
Roads to Freedom	1830	36	Q1217409	The Roads to Freedom	novel series by Jean-Paul Sartre	Jean-Paul Sartre	1945	1945	high	accepted_overlay
Persepolis	1831	27	Q756604	Persepolis	2000–2003 French-language graphic novel series by Marjane Satrapi	Marjane Satrapi	2000	2000	high	accepted_overlay
Head and Shoulders	1832	45	Q16385961	Head and Shoulders	short story by F. Scott Fitzgerald	F. Scott Fitzgerald		""	medium	accepted_overlay
Concord Hymn	1833	41	Q5158815	Concord Hymn	poem by Ralph Waldo Emerson	Ralph Waldo Emerson	1847	1847	high	accepted_overlay
The Leopard	1834	25	Q1193736	The Leopard	novel by Giuseppe Tomasi di Lampedusa	Giuseppe Tomasi di Lampedusa	1958	1958	high	accepted_overlay
The Web and the Rock	1835	50	Q17030867	The Web and the Rock	1939 novel by Thomas Wolfe	Thomas Wolfe	1939	1939	high	accepted_overlay
The Path to the Nest of Spiders	1836	58	Q1135521	The Path to the Nest of Spiders	novel by Italo Calvino	Italo Calvino	1947	1947	high	accepted_overlay
A Thousand Splendid Suns	1837	40	Q860633	A Thousand Splendid Suns	2007 novel by Khalid Hosseini	Khaled Hosseini	2007	2007	high	accepted_overlay
Klara and the Sun	1838	37	Q105704813	Klara and the Sun	2021 novel by Kazuo Ishiguro	Kazuo Ishiguro	2021	2021	high	accepted_overlay
Poet in New York	1839	82	Q3106961	Poet in New York	book of poems by Federico García Lorca	Federico García Lorca	1936	1936	high	accepted_overlay
First Impressions	1840	50	Q170583	Pride and Prejudice	1813 novel by Jane Austen	Jane Austen	1813	1813	high	accepted_overlay
Pamela: or Virtue Rewarded	1841	30	""	""	""	""	""	""	""	no_high_confidence_match
Sexual Personae	1842	38	Q3958586	Sexual Personae	1990 essay by Camille Paglia	Camille Paglia	1990	1990	high	accepted_overlay
Funes the Memorious	1843	59	Q2489763	Funes the Memorious	1942 short story by Jorge Luis Borges	Jorge Luis Borges	1942	1942	high	accepted_overlay
Yukiguni	1844	33	Q1376060	Snow Country	novel by Yasunari Kawabata	Yasunari Kawabata	1935	1935	high	accepted_overlay
The Normal Heart	1845	47	Q7754314	The Normal Heart	1985 play by Larry Kramer	Larry Kramer	1985	1985	high	accepted_overlay
The Waves	1846	31	Q1217475	The Waves	novel by Virginia Woolf (1931)	Virginia Woolf	1931	1931	high	accepted_overlay
A Descent into the Maelstrom	1847	29	Q1658772	A Descent into the Maelström	short story by Edgar Allan Poe	Edgar Allan Poe	1841	1841	high	accepted_overlay
One of Ours	1848	83	Q7093535	One of Ours	novel by Willa Cather	Willa Cather	1922	1922	high	accepted_overlay
Tears, Idle Tears	1849	48	Q7691791	Tears, Idle Tears	lyric poem by Alfred, Lord Tennyson	Alfred Tennyson	1847	1847	high	accepted_overlay
Live or Die	1850	79	Q6658069	Live or Die	book	Anne Sexton	1966	1966	high	accepted_overlay
The Circus Animals’ Desertion	1851	40	""	""	""	""	""	""	""	no_high_confidence_match
Group Portrait with Lady	1852	55	Q1551030	Group Portrait with Lady	novel by Heinrich Böll	Heinrich Böll	1971	1971	high	accepted_overlay
Journey to the End of the Night	1853	31	Q774233	Journey to the End of the Night	1932 novel by Louis-Ferdinand Céline	Louis-Ferdinand Céline	1932	1932	high	accepted_overlay
Good-Bye to All That	1854	35	Q2356106	Good-Bye to All That	1929 autobiography by Robert Graves	Robert Graves	1929	1929	high	accepted_overlay
End of the Game	1855	87	""	""	""	""	""	""	""	no_high_confidence_match
Sea Grapes	1856	54	""	""	""	""	""	""	""	no_high_confidence_match
Ode on Melancholy	1857	31	Q13133847	Ode on Melancholy	poem	John Keats	1820	1820	high	accepted_overlay
Reading Lolita in Tehran	1858	35	Q2260452	Reading Lolita in Tehran	2003 novel by Azar Nafisi	Azar Nafisi	2003	2003	high	accepted_overlay
The Dancing Girl of Izu	1860	55	Q3276314	The Dancing Girl of Izu	short story by Yasunari Kawabata	Yasunari Kawabata	1926	1926	high	accepted_overlay
The Alexandria Quartet	1861	56	Q2743377	The Alexandria Quartet	novel series by Lawrence Durrell	Lawrence Durrell	1962	1962	high	accepted_overlay
The Lost Honor of Katharina Blum	1862	43	Q841315	The Lost Honour of Katharina Blum	1974 novel by Heinrich Böll	Heinrich Böll	1974	1974	high	accepted_overlay
The Floating Opera	1863	57	Q7734487	The Floating Opera	novel by John Barth	John Barth		""	medium	accepted_overlay
My Brilliant Friend	1864	53	Q22263533	My Brilliant Friend	novel by Elena Ferrante	Elena Ferrante	2011	2011	high	accepted_overlay
Orlando	1865	35	""	""	""	""	""	""	""	no_high_confidence_match
Here I Am	1866	83	""	""	""	""	""	""	""	no_high_confidence_match
Equal Rights Amendment	1867	87	""	""	""	""	""	""	""	no_high_confidence_match
The City and the Pillar	1868	47	Q1764868	The City and the Pillar	novel by Gore Vidal	Gore Vidal	1948	1948	high	accepted_overlay
The Owl and the Pussycat	1869	57	""	""	""	""	""	""	""	no_high_confidence_match
Christabel	1870	33	Q2790646	Christabel	poem by Samuel Taylor Coleridge	Samuel Taylor Coleridge	1816	1816	high	accepted_overlay
Herzog	1871	25	Q1424503	Herzog	novel by Saul Bellow	Saul Bellow	1964	1964	high	accepted_overlay
The Metaphysical Poets	1872	86	""	""	""	""	""	""	""	no_high_confidence_match
The Wild Geese	1873	35	Q7774861	The Wild Geese	novel by Mori Ōgai	Mori Ōgai		""	medium	accepted_overlay
The Bourgeois Gentleman	1874	51	""	""	""	""	""	""	""	no_high_confidence_match
Get a Life	1875	80	Q5554299	Get a Life	2005 novel by Nadine Gordimer	Nadine Gordimer	2005	2005	high	accepted_overlay
Sweat	1876	41	Q30602216	Sweat	2015 play by Lynn Nottage	Lynn Nottage	2015	2015	high	accepted_overlay
Caesar and Cleopatra	1877	51	Q3501409	Caesar and Cleopatra	play written by George Bernard Shaw	George Bernard Shaw	1899	1899	high	accepted_overlay
Black and Blue	1878	78	""	""	""	""	""	""	""	no_high_confidence_match
The Making of Americans	1879	50	Q7749704	The Making of Americans	novel by Gertrude Stein	Gertrude Stein	1925	1925	high	accepted_overlay
The Lone Ranger and Tonto Fistfight in Heaven	1880	41	Q7748085	The Lone Ranger and Tonto Fistfight in Heaven	book by Sherman Alexie	Sherman Alexie	1993	1993	high	accepted_overlay
The Secret Miracle	1881	39	Q7763057	The Secret Miracle	1943 short story by Jorge Luis Borges	Jorge Luis Borges	1943	1943	high	accepted_overlay
Book of Lamentations	1882	82	""	""	""	""	""	""	""	no_high_confidence_match
The Compleat Angler	1883	37	Q3225234	The Compleat Angler	book about fishing, 1653 London	Izaak Walton	1653	1653	high	accepted_overlay
Puss in Boots	1884	83	""	""	""	""	""	""	""	no_high_confidence_match
The Golden Boat	1885	86	""	""	""	""	""	""	""	no_high_confidence_match
The Elephant Vanishes	1886	43	Q2456858	The Elephant Vanishes	short story collection by Haruki Murakami	Haruki Murakami	1993	1993	high	accepted_overlay
Ragtime	1887	24	Q737910	Ragtime	1975 novel by E. L. Doctorow	E. L. Doctorow	1975	1975	high	accepted_overlay
The Phantom Tollbooth	1888	26	Q124368339	The Phantom Tollbooth	1961 novel by Norton Juster	Norton Juster	1961	1961	high	accepted_overlay
The House of Fame	1889	79	""	""	""	""	""	""	""	no_high_confidence_match
Men Without Women	1890	56	Q30608679	Men Without Women	2014 short story collection by Haruki Murakami	Haruki Murakami	2014	2014	high	accepted_overlay
